a 	啊	c=36 d=1.2806 t=40209
bing fa 	併發	c=5 d=0.0005 t=76495
bing he qi 	冰河期	c=1 d=0.0005 t=76495
bing jiang 	並將	c=1 d=0.0005 t=76495
bing jie 	兵解	c=1 d=0.0005 t=76495
bing le 	病了	c=1 d=0.0005 t=76495
bing mei you 	並沒有	c=6 d=0.2579 t=76495
bing qi 	兵器	c=1 d=0.0005 t=76495
bing qie 	並且	c=24 d=9.7435 t=76495
bing tai 	病態	c=1 d=0.0005 t=76495
bing wang 	兵王	c=1 d=0.3344 t=76495
bing wu 	並無	c=1 d=0.0005 t=76495
bing xiang 	并想	c=1 d=0.0753 t=3923
bing xing 	並行	c=1 d=0.0005 t=76495
bing yang yang 	病怏怏	c=1 d=0.0005 t=76495
bo 	播	c=2 d=0.0005 t=76495
bo 	波	c=0 d=0.0005 t=76495
bo 	鉢	c=2 d=0.0005 t=76495
bo bao 	播報	c=1 d=0.0005 t=76495
bo cai 	博彩	c=1 d=0.2046 t=3923
bo cai 	菠菜	c=1 d=0.2015 t=3923
bo chang 	波長	c=1 d=0.0005 t=76495
bo chi 	駁斥	c=1 d=0.0005 t=76495
bo da 	撥打	c=1 d=1.7410 t=76495
bo dong 	波动	c=1 d=0.1068 t=3923
bo fang 	播放	c=2 d=0.4749 t=3923
bo guo lai 	波過來	c=1 d=0.0005 t=76495
bo ji 	簸箕	c=1 d=0.0005 t=76495
bo jin 	鉑金	c=1 d=0.0005 t=76495
bo ke 	播客	c=1 d=0.0005 t=76495
bo lang 	波浪	c=0 d=0.0005 t=76495
bo lang xian 	波浪先	c=1 d=0.0005 t=76495
bo li 	剝離	c=2 d=0.0005 t=76495
bo li 	玻璃	c=1 d=0.0005 t=76495
bo li ping 	玻璃瓶	c=1 d=2.1912 t=76495
bo ren 	撥人	c=1 d=0.0005 t=76495
bo shi 	博士	c=1 d=0.0005 t=76495
bo shi hou 	博士後	c=1 d=0.0005 t=76495
bo xue 	剝削	c=1 d=0.0005 t=76495
bo zi 	撥子	c=1 d=0.0005 t=76495
bo zi 	脖子	c=2 d=1.0498 t=40209
bu 	不	c=81 d=4.7374 t=40209
bu 	布	c=1 d=0.0005 t=76495
bu 	步	c=2 d=0.0005 t=76495
bu 	補	c=6 d=0.0005 t=76495
bu bao cuo 	不报错	c=2 d=0.0122 t=40209
bu bao han 	不包含	c=3 d=0.0005 t=76495
bu bao kuo 	不包括	c=1 d=0.0005 t=76495
bu bao zheng 	不保證	c=2 d=0.0043 t=76495
bu bei 	不背	c=1 d=0.0005 t=76495
bu bei 	不被	c=2 d=0.0037 t=76495
bu bi yao 	不必要	c=1 d=4.8280 t=76495
bu bian 	不變	c=1 d=0.0005 t=76495
bu bian geng 	不變更	c=2 d=0.0005 t=76495
bu bu 	步步	c=1 d=0.1833 t=3923
bu bu 	補補	c=0 d=0.0005 t=76495
bu bu bu 	不不不	c=3 d=0.0005 t=76495
bu can yu 	不參與	c=1 d=0.4988 t=76495
bu cao zuo 	不操作	c=2 d=0.0005 t=76495
bu cha 	不差	c=2 d=0.0005 t=76495
bu chang 	步長	c=1 d=0.0005 t=76495
bu chang 	補償	c=4 d=0.1111 t=76495
bu cheng 	不成	c=1 d=4.3905 t=76495
bu cheng gong 	不成功	c=1 d=0.0005 t=76495
bu cheng shu 	不成熟	c=2 d=0.0005 t=76495
bu chi 	不喫	c=3 d=0.0005 t=76495
bu chong 	補充	c=10 d=0.3048 t=76495
bu chong dan bai zhi 	補充蛋白質	c=1 d=0.0005 t=76495
bu chong fu 	不重复	c=1 d=0.0075 t=3923
bu chong lian 	不重连	c=1 d=0.0005 t=76495
bu chong tu 	不衝突	c=1 d=0.0005 t=76495
bu chong yi xia 	補充一下	c=1 d=0.0005 t=76495
bu chou 	不臭	c=0 d=0.0005 t=76495
bu chu 	不出	c=1 d=0.2899 t=76495
bu chu lai 	不出來	c=2 d=0.0005 t=76495
bu chu lai 	不出来	c=2 d=0.0439 t=3923
bu chu li 	不處理	c=5 d=0.0005 t=76495
bu chuan 	不傳	c=2 d=0.0005 t=76495
bu chuan di 	不傳遞	c=2 d=0.0005 t=76495
bu chuang jian 	不创建	c=1 d=0.0005 t=76495
bu cun zai 	不存在	c=45 d=1.2147 t=40209
bu cuo 	不錯	c=5 d=0.0024 t=76495
bu da 	不大	c=8 d=0.0795 t=40209
bu da ji 	不打擊	c=1 d=0.0005 t=76495
bu da ke neng 	不大可能	c=1 d=0.3599 t=3923
bu da suan 	不打算	c=2 d=0.0005 t=76495
bu dan 	不但	c=0 d=0.0005 t=76495
bu dan chun 	不单纯	c=2 d=0.0030 t=76495
bu dan xin 	不担心	c=1 d=0.1888 t=3923
bu dan xin 	不擔心	c=1 d=0.0005 t=76495
bu dan yao 	不但要	c=1 d=0.0005 t=76495
bu dao 	不到	c=11 d=6.8803 t=76495
bu dao wei 	不到位	c=1 d=0.0005 t=76495
bu de le 	不得了	c=1 d=0.0005 t=76495
bu dei 	不得	c=7 d=0.0033 t=40209
bu deng yu 	不等於	c=1 d=0.0005 t=76495
bu dian 	不點	c=1 d=0.0080 t=76495
bu dong 	不动	c=0 d=0.1263 t=3923
bu dong 	不動	c=5 d=0.5624 t=76495
bu dong 	不懂	c=2 d=0.0005 t=76495
bu dong chan 	不動產	c=1 d=0.0005 t=76495
bu dou dei 	不都得	c=1 d=0.0131 t=76495
bu duan 	不斷	c=2 d=0.0005 t=76495
bu dui 	不对	c=0 d=0.0002 t=3923
bu dui 	不對	c=10 d=0.0256 t=76495
bu dui jin 	不对劲	c=2 d=1.6375 t=3923
bu dui jin 	不對勁	c=3 d=0.0005 t=76495
bu duo 	不多	c=5 d=0.9049 t=40209
bu er 	布尔	c=0 d=0.0152 t=3923
bu er 	布爾	c=1 d=0.0005 t=76495
bu er zhi 	布尔值	c=1 d=0.1523 t=3923
bu fa 	不發	c=1 d=0.0005 t=76495
bu fa ban 	不發版	c=1 d=0.0005 t=76495
bu fa song 	不發送	c=5 d=0.0005 t=76495
bu fan hui 	不返回	c=4 d=1.7065 t=76495
bu fang 	不放	c=1 d=0.0005 t=76495
bu fang bian 	不方便	c=1 d=0.0005 t=76495
bu fen 	部份	c=32 d=0.2015 t=76495
bu fen kuai 	不分塊	c=1 d=0.0005 t=76495
bu fu he 	不符合	c=1 d=0.0005 t=76495
bu gai 	不改	c=1 d=0.1872 t=76495
bu gai 	不該	c=1 d=0.0005 t=76495
bu gai bian 	不改變	c=1 d=0.0005 t=76495
bu gan 	不幹	c=1 d=0.9089 t=76495
bu gan 	不敢	c=5 d=0.0005 t=76495
bu gan ga 	不尷尬	c=1 d=0.0005 t=76495
bu gan mao 	不感冒	c=1 d=0.0005 t=76495
bu gan wan 	不敢玩	c=1 d=0.0010 t=76495
bu gan xing qu 	不感興趣	c=1 d=0.0005 t=76495
bu gao 	不搞	c=1 d=0.0005 t=76495
bu gao 	不高	c=1 d=0.0002 t=3923
bu gao bu di 	不高不低	c=1 d=0.0005 t=76495
bu gao wan 	不搞完	c=1 d=0.2511 t=3923
bu gei 	不给	c=6 d=0.7257 t=40209
bu gei wo 	不给我	c=1 d=0.6115 t=3923
bu geng xin 	不更新	c=2 d=0.1280 t=76495
bu gou 	不够	c=1 d=0.3617 t=3923
bu gou 	不夠	c=1 d=0.1839 t=76495
bu gou ba 	不够吧	c=1 d=0.0010 t=76495
bu gou shen 	不夠深	c=1 d=0.0005 t=76495
bu guan 	不管	c=18 d=0.1724 t=40209
bu guan ji 	不關機	c=1 d=0.0005 t=76495
bu guan le 	不管了	c=3 d=0.0033 t=40209
bu guan xin 	不關心	c=5 d=1.9236 t=76495
bu guan you mei you 	不管有沒有	c=1 d=0.0005 t=76495
bu guan zhu 	不关注	c=2 d=0.0090 t=76495
bu gui fan 	不規範	c=1 d=0.0005 t=76495
bu guo 	不過	c=1 d=0.0005 t=76495
bu guo fen 	不過分	c=1 d=0.0005 t=76495
bu guo qi 	不過期	c=1 d=0.0005 t=76495
bu hao 	不好	c=13 d=2.9087 t=40209
bu hao 	补好	c=0 d=0.0005 t=76495
bu hao ba 	不好吧	c=1 d=0.0005 t=76495
bu hao chi 	不好吃	c=2 d=0.0005 t=76495
bu hao gai 	不好改	c=2 d=0.0005 t=76495
bu hao he 	不好喝	c=1 d=0.0005 t=76495
bu hao kan 	不好看	c=1 d=0.0005 t=76495
bu hao le 	补好了	c=2 d=0.0005 t=76495
bu hao ma 	不好吗	c=1 d=1.0032 t=3923
bu hao shuo 	不好說	c=0 d=0.0005 t=76495
bu hao yi si 	不好意思	c=3 d=1.9233 t=40209
bu hao zhao 	不好找	c=2 d=0.0013 t=76495
bu hao zou 	不好走	c=1 d=0.0005 t=76495
bu he fa 	不合法	c=2 d=0.0005 t=76495
bu he ge 	不合格	c=1 d=0.0005 t=76495
bu he li 	不合理	c=1 d=0.0005 t=76495
bu he li 	不河裏	c=3 d=0.0005 t=76495
bu he shi 	不合適	c=5 d=0.0005 t=76495
bu hu lue 	不忽略	c=3 d=0.0005 t=76495
bu hua 	不化	c=1 d=1.5891 t=3923
bu hua suan 	不划算	c=1 d=0.0005 t=76495
bu huan cun 	不缓存	c=1 d=0.0005 t=76495
bu huang 	不慌	c=2 d=0.0005 t=76495
bu hui 	不会	c=4 d=2.0992 t=3923
bu hui 	不會	c=78 d=6.1313 t=76495
bu hui ba 	不會吧	c=1 d=0.0005 t=76495
bu hui xie 	不会写	c=1 d=0.0005 t=76495
bu hui ya 	不会呀	c=2 d=0.8765 t=3923
bu hui you 	不會有	c=1 d=0.0911 t=76495
bu hui zou 	不会走	c=2 d=0.0060 t=3923
bu hui zou 	不會走	c=1 d=0.1817 t=76495
bu huo 	捕獲	c=4 d=0.0005 t=76495
bu ji 	不急	c=6 d=0.0005 t=76495
bu ji 	不給	c=1 d=0.0005 t=76495
bu ji de 	不記得	c=2 d=0.5795 t=76495
bu ji de le 	不记得了	c=1 d=0.0005 t=76495
bu ji lu 	不記錄	c=1 d=0.0005 t=76495
bu ji shi 	不及時	c=0 d=0.0005 t=76495
bu ji suan 	不計算	c=1 d=0.0005 t=76495
bu jia 	不加	c=3 d=2.0005 t=40100
bu jia ban 	不加班	c=3 d=0.0005 t=76495
bu jian 	不見	c=1 d=0.0005 t=76495
bu jian ce 	不检测	c=1 d=0.0005 t=76495
bu jian chi 	不堅持	c=1 d=0.0005 t=76495
bu jian rong 	不兼容	c=11 d=0.0005 t=76495
bu jian rong xing 	不兼容性	c=1 d=0.0005 t=76495
bu jian yi 	不建议	c=7 d=0.0005 t=76495
bu jiao 	不叫	c=2 d=0.0005 t=76495
bu jiao ke lian 	不叫可憐	c=1 d=0.0005 t=76495
bu jie hun 	不結婚	c=1 d=0.0005 t=76495
bu jie shou 	不接受	c=1 d=0.0005 t=76495
bu jin xing 	不进行	c=2 d=0.0005 t=76495
bu jiu 	不久	c=1 d=0.0005 t=76495
bu jiu 	不就	c=4 d=0.0005 t=76495
bu jiu hao le 	不就好了	c=1 d=0.0005 t=76495
bu jiu ke yi 	不就可以	c=1 d=0.0005 t=76495
bu jiu shi 	不就是	c=7 d=2.2562 t=40209
bu ju 	佈局	c=3 d=3.0327 t=76495
bu ju 	布局	c=1 d=0.0823 t=3923
bu jue de 	不覺得	c=1 d=0.0005 t=76495
bu kai 	不開	c=2 d=0.0005 t=76495
bu kan 	不看	c=3 d=1.4397 t=76495
bu kang 	不抗	c=1 d=0.0005 t=76495
bu kao lv 	不考虑	c=5 d=0.0005 t=76495
bu ke 	不可	c=5 d=0.1630 t=40209
bu ke da 	不可达	c=1 d=0.0158 t=76495
bu ke du 	不可讀	c=1 d=0.0005 t=76495
bu ke jian 	不可见	c=1 d=0.0005 t=76495
bu ke neng 	不可能	c=10 d=3.3522 t=76495
bu ke neng de 	不可能的	c=1 d=0.0005 t=76495
bu ke qu 	不可取	c=1 d=0.0005 t=76495
bu ke tui xie 	不可推卸	c=1 d=0.0005 t=76495
bu ke wei hu 	不可維護	c=1 d=0.0005 t=76495
bu ke xuan 	不可選	c=1 d=0.0005 t=76495
bu ke yi 	不可以	c=6 d=3.4765 t=40209
bu ke yi ma 	不可以嗎	c=1 d=0.0439 t=76495
bu ke yong 	不可用	c=5 d=0.0005 t=76495
bu ken 	不肯	c=1 d=0.0005 t=76495
bu kong zhi zhen 	不空指針	c=1 d=0.0005 t=76495
bu la 	不辣	c=1 d=0.0005 t=76495
bu lai 	不來	c=4 d=3.1783 t=76495
bu lai ge 	不來個	c=1 d=0.0005 t=76495
bu lai le 	不来了	c=2 d=0.0005 t=76495
bu lao fan 	不勞煩	c=1 d=0.0005 t=76495
bu le 	补了	c=2 d=0.0005 t=76495
bu leng 	不冷	c=0 d=0.0005 t=76495
bu li ta 	不理他	c=1 d=0.0005 t=76495
bu lian 	不练	c=0 d=0.0002 t=3923
bu lian xu 	不連續	c=1 d=0.0005 t=76495
bu liao 	不了	c=15 d=2.1968 t=40209
bu liao de 	不了的	c=1 d=0.0005 t=76495
bu liao jie 	不瞭解	c=1 d=0.0005 t=76495
bu liu 	不留	c=1 d=0.0005 t=76495
bu liu chang 	不流暢	c=1 d=0.0005 t=76495
bu luo 	部落	c=1 d=0.0005 t=76495
bu ma 	不嘛	c=1 d=0.0005 t=76495
bu ma fan 	不麻烦	c=1 d=0.0005 t=76495
bu mai 	不买	c=1 d=0.7774 t=3923
bu mai 	不買	c=1 d=0.0005 t=76495
bu man 	不慢	c=1 d=0.0005 t=76495
bu man yi 	不滿意	c=2 d=0.0005 t=76495
bu man zu 	不滿足	c=1 d=0.0005 t=76495
bu mang 	不忙	c=1 d=0.5217 t=76495
bu men 	部門	c=4 d=0.0544 t=76495
bu men jian 	部門間	c=1 d=0.0005 t=76495
bu ming 	不明	c=1 d=0.1569 t=3923
bu ming bai 	不明白	c=0 d=0.0005 t=76495
bu nan 	不難	c=1 d=0.0005 t=76495
bu nan shou 	不難受	c=1 d=0.0005 t=76495
bu neng 	不能	c=35 d=8.3625 t=40209
bu neng a 	不能啊	c=1 d=0.0005 t=76495
bu neng ne ge 	不能呢個	c=2 d=0.0005 t=76495
bu neng shuo 	不能说	c=1 d=0.0005 t=76495
bu neng suan 	不能算	c=1 d=0.0005 t=76495
bu neng xuan 	不能选	c=1 d=0.1134 t=3923
bu neng yong 	不能用	c=1 d=0.0005 t=76495
bu ni 	不膩	c=1 d=0.0005 t=76495
bu niang 	不娘	c=1 d=0.0005 t=76495
bu nong 	不弄	c=2 d=0.0005 t=76495
bu pa 	不怕	c=1 d=0.0005 t=76495
bu pai chu 	不排除	c=4 d=0.0005 t=76495
bu pan duan 	不判斷	c=1 d=0.0005 t=76495
bu pei zhi 	不配置	c=1 d=0.0005 t=76495
bu pi pei 	不匹配	c=4 d=0.0138 t=40209
bu pian yi 	不便宜	c=1 d=0.0005 t=76495
bu qi lai 	不起來	c=0 d=0.0005 t=76495
bu qian tao 	不嵌套	c=1 d=0.0884 t=76495
bu qiang 	不強	c=1 d=0.0005 t=76495
bu qing 	不清	c=0 d=0.0773 t=3923
bu qing 	不輕	c=3 d=0.2428 t=76495
bu qing bu chu 	不清不楚	c=1 d=0.7774 t=3923
bu qing chu 	不清楚	c=33 d=3.0855 t=40209
bu qing qiu 	不請求	c=1 d=0.0005 t=76495
bu qu 	不去	c=2 d=0.1246 t=40209
bu qu 	不取	c=2 d=0.0005 t=76495
bu qu fen 	不区分	c=2 d=0.0005 t=76495
bu quan 	补全	c=8 d=0.1487 t=76495
bu que 	不缺	c=1 d=0.0005 t=76495
bu que ding 	不確定	c=4 d=0.0005 t=76495
bu ran 	不然	c=50 d=4.7956 t=40209
bu ran ne 	不然呢	c=1 d=0.0005 t=76495
bu rang 	不讓	c=5 d=0.0005 t=76495
bu rang 	不让	c=1 d=0.5533 t=3923
bu rang ni 	不让你	c=1 d=0.0019 t=3923
bu rang ta 	不讓他	c=2 d=0.0005 t=76495
bu re 	不熱	c=0 d=0.0005 t=76495
bu re bu leng 	不熱不冷	c=1 d=0.0005 t=76495
bu ren 	不忍	c=0 d=0.0005 t=76495
bu ren kan 	不忍看	c=1 d=0.0005 t=76495
bu ren shi 	不认识	c=1 d=0.0005 t=76495
bu ren wei 	不认为	c=1 d=0.9981 t=3923
bu rong duan 	不熔斷	c=1 d=0.0005 t=76495
bu ru 	不入	c=1 d=0.0005 t=76495
bu ru 	不如	c=4 d=0.0005 t=76495
bu ru ku 	不入庫	c=1 d=0.0057 t=76495
bu ru lei 	哺乳類	c=1 d=0.0005 t=76495
bu ru ren jia 	不如人家	c=1 d=0.0005 t=76495
bu shai xuan 	不筛选	c=1 d=0.0013 t=3923
bu shang 	不上	c=2 d=0.5296 t=76495
bu shang 	补上	c=1 d=0.0002 t=3923
bu shang 	補上	c=5 d=0.8510 t=76495
bu shang le 	补上了	c=1 d=0.0005 t=76495
bu shao 	不少	c=2 d=0.0005 t=76495
bu she zhi 	不設置	c=1 d=0.0005 t=76495
bu shen 	不甚	c=0 d=0.0005 t=76495
bu sheng bu xiang 	不聲不響	c=1 d=0.0005 t=76495
bu sheng cheng 	不生成	c=4 d=0.0005 t=76495
bu sheng xiao 	不生效	c=2 d=2.0005 t=40119
bu shi 	不事	c=1 d=0.0005 t=76495
bu shi 	不是	c=232 d=12.9037 t=40209
bu shi 	不時	c=1 d=0.0005 t=76495
bu shi 	不適	c=0 d=0.0005 t=76495
bu shi an zhao 	不是按照	c=1 d=0.0177 t=3923
bu shi bu shi 	不是不是	c=1 d=0.0005 t=76495
bu shi cao 	不实操	c=1 d=0.0005 t=76495
bu shi fang 	不釋放	c=2 d=0.0005 t=76495
bu shi hao dai 	不识好歹	c=1 d=0.0002 t=3923
bu shi he 	不適合	c=1 d=0.0005 t=76495
bu shi hen dong 	不是很懂	c=1 d=0.0005 t=76495
bu shi ni 	不是你	c=1 d=0.0005 t=76495
bu shi shuo 	不是說	c=7 d=0.0005 t=76495
bu shi shuo 	不是说	c=0 d=0.0002 t=3923
bu shi yong 	不適用	c=1 d=0.0213 t=76495
bu shou 	不守	c=1 d=0.0005 t=76495
bu shou kong zhi 	不受控制	c=1 d=0.0005 t=76495
bu shu 	不熟	c=1 d=0.0005 t=76495
bu shu 	布署	c=41 d=5.0000 t=76495
bu shu 	部屬	c=1 d=0.0005 t=76495
bu shu fu 	不舒服	c=2 d=0.0005 t=76495
bu shua 	不刷	c=1 d=0.0005 t=76495
bu shua xin 	不刷心	c=1 d=0.0005 t=76495
bu shua xin 	不刷新	c=1 d=1.1831 t=3923
bu shuang 	不爽	c=5 d=1.4312 t=40209
bu shun 	不顺	c=0 d=0.0002 t=3923
bu shuo 	不說	c=3 d=0.0005 t=76495
bu si 	不死	c=1 d=0.0005 t=76495
bu suan 	不算	c=8 d=0.0005 t=76495
bu tai 	不太	c=10 d=3.3593 t=40209
bu tai gou 	不太夠	c=1 d=0.8517 t=76495
bu tai hao 	不太好	c=12 d=1.9751 t=40209
bu tai hao cha 	不太好查	c=1 d=0.0005 t=76495
bu tai hao kan 	不太好看	c=1 d=0.9784 t=3923
bu tai hao xie 	不太好寫	c=1 d=0.0005 t=76495
bu tai hui 	不太會	c=2 d=0.0005 t=76495
bu tai leng 	不太冷	c=1 d=0.5788 t=3923
bu tai wen 	不太稳	c=1 d=0.0005 t=76495
bu tai xing 	不太行	c=1 d=0.0005 t=76495
bu tai zhun 	不太准	c=1 d=0.0154 t=76495
bu tan lan 	不貪婪	c=1 d=3.7601 t=76495
bu tian 	不填	c=1 d=0.0005 t=76495
bu tian xie 	不填写	c=1 d=0.0005 t=76495
bu tian xie 	补填写	c=2 d=0.0144 t=76495
bu tiao 	不跳	c=1 d=0.0005 t=76495
bu ting 	不聽	c=1 d=0.0005 t=76495
bu tong 	不同	c=18 d=0.0962 t=40209
bu tong 	不痛	c=1 d=0.0005 t=76495
bu tong ji 	不統計	c=2 d=1.0461 t=76495
bu tong ping tai 	不同平台	c=1 d=0.0374 t=3923
bu tou tong 	不頭痛	c=1 d=0.0005 t=76495
bu tu 	不吐	c=1 d=0.0005 t=76495
bu tui chu 	不退出	c=1 d=0.0005 t=76495
bu tuo 	不託	c=1 d=0.0005 t=76495
bu wan 	不完	c=0 d=0.1227 t=76495
bu wan 	不玩	c=4 d=0.7823 t=76495
bu wan 	补完	c=2 d=0.0005 t=76495
bu wan shan 	不完善	c=1 d=0.0005 t=76495
bu wan zheng 	不完整	c=3 d=0.0005 t=76495
bu wang xia 	不往下	c=1 d=1.3902 t=76495
bu wei 	不爲	c=3 d=0.0009 t=76495
bu wei 	部位	c=1 d=0.0005 t=76495
bu wei kong 	不为空	c=3 d=0.0005 t=76495
bu wen 	不問	c=1 d=0.0005 t=76495
bu wen 	不穩	c=1 d=0.0005 t=76495
bu wen ding 	不穩定	c=1 d=0.0005 t=76495
bu wo 	不我	c=1 d=0.0005 t=76495
bu xi 	補習	c=1 d=0.0005 t=76495
bu xi huan 	不喜歡	c=1 d=0.8953 t=76495
bu xi wang 	不希望	c=1 d=0.0005 t=76495
bu xia lai 	不下來	c=2 d=0.0005 t=76495
bu xia shuo 	不瞎說	c=1 d=0.0005 t=76495
bu xian shi 	不显示	c=1 d=0.0002 t=3923
bu xian shi 	不顯示	c=5 d=0.6600 t=76495
bu xian zhi 	不限制	c=3 d=0.0005 t=76495
bu xiang 	不像	c=1 d=0.1465 t=76495
bu xiang 	不想	c=14 d=1.4206 t=40209
bu xiang chi 	不想吃	c=1 d=0.0005 t=76495
bu xiang deng 	不相等	c=1 d=0.0996 t=3923
bu xiang ni 	不像你	c=2 d=3.3943 t=3923
bu xiang pao 	不想抛	c=1 d=0.0002 t=3923
bu xiang pao 	不想跑	c=1 d=0.0005 t=76495
bu xiang shang ban 	不想上班	c=1 d=0.3052 t=3923
bu xiang yang 	不像樣	c=1 d=0.0005 t=76495
bu xiang zhe 	不想着	c=1 d=0.0005 t=76495
bu xiao de 	不曉得	c=2 d=0.0005 t=76495
bu xin 	不信	c=1 d=0.0005 t=76495
bu xing 	不行	c=30 d=6.0051 t=40209
bu xing 	不醒	c=0 d=0.0005 t=76495
bu xing le 	不行了	c=1 d=0.0005 t=76495
bu xu yao 	不需要	c=36 d=1.8480 t=40209
bu xu yao le 	不需要了	c=1 d=0.0005 t=76495
bu xuan ran 	不渲染	c=1 d=0.0005 t=76495
bu xue xi 	不學習	c=1 d=0.0005 t=76495
bu yan zhong 	不嚴重	c=1 d=0.0005 t=76495
bu yao 	不要	c=49 d=10.4111 t=40209
bu yao 	補藥	c=1 d=0.0005 t=76495
bu yao dong 	不要动	c=2 d=0.0005 t=76495
bu yao ting 	不要停	c=1 d=0.0314 t=3923
bu yao wang le 	不要忘了	c=1 d=0.0005 t=76495
bu yao xie 	不要寫	c=1 d=0.0005 t=76495
bu yao zhe yang 	不要这样	c=0 d=0.1990 t=3923
bu yao zhe yang zi 	不要这样子	c=1 d=2.0000 t=3923
bu ye 	補液	c=1 d=0.0005 t=76495
bu yi 	布衣	c=0 d=0.0283 t=3923
bu yi ding 	不一定	c=10 d=0.5743 t=40209
bu yi ge 	補一個	c=1 d=0.0005 t=76495
bu yi lai 	不依賴	c=3 d=0.0005 t=76495
bu yi rang 	不揖讓	c=1 d=0.0005 t=76495
bu yi xia 	补一下	c=4 d=0.1267 t=76495
bu yi yan 	不一眼	c=1 d=0.0939 t=76495
bu yi yang 	不一样	c=1 d=0.0002 t=3923
bu yi yang 	不一樣	c=21 d=2.7457 t=76495
bu yi zhi 	不一致	c=9 d=0.0330 t=40209
bu yin gai 	不因该	c=1 d=0.0005 t=76495
bu ying 	不應	c=0 d=0.0005 t=76495
bu ying gai 	不應該	c=10 d=4.8039 t=76495
bu ying le 	不應了	c=1 d=0.0005 t=76495
bu ying xiang 	不影响	c=9 d=3.7413 t=76495
bu yong 	不用	c=68 d=4.9027 t=40209
bu yong ba 	不用吧	c=1 d=0.0005 t=76495
bu yong dan xin 	不用擔心	c=1 d=0.0009 t=76495
bu yong dong 	不用動	c=1 d=0.1745 t=76495
bu yong guan 	不用管	c=6 d=0.0150 t=76495
bu yong kan 	不用看	c=1 d=0.0005 t=76495
bu yong le 	不用了	c=9 d=0.1627 t=76495
bu yong le ba 	不用了吧	c=1 d=0.0005 t=76495
bu yong li 	不用理	c=1 d=0.0005 t=76495
bu yong qu 	不用去	c=1 d=0.0005 t=76495
bu yong xin 	不用信	c=1 d=0.0005 t=76495
bu yong yu yue 	不用预约	c=1 d=0.0164 t=3923
bu you hao 	不友好	c=1 d=0.0005 t=76495
bu yuan yi 	不願意	c=1 d=0.0005 t=76495
bu yun 	不暈	c=1 d=0.0005 t=76495
bu zai 	不再	c=7 d=0.0005 t=76495
bu zai 	不在	c=11 d=0.0823 t=76495
bu zai qun nei 	不在羣內	c=1 d=0.0005 t=76495
bu zai xian 	不在線	c=17 d=0.0005 t=76495
bu zao shuo 	不早说	c=1 d=0.0005 t=76495
bu zen yang 	不怎样	c=1 d=0.0005 t=76495
bu zha shi 	不扎实	c=1 d=0.0005 t=76495
bu zhan shi 	不展示	c=2 d=0.0005 t=76495
bu zhao ji 	不着急	c=1 d=0.0005 t=76495
bu zhao ta yao 	不找他要	c=1 d=0.0005 t=76495
bu zhe yang 	不這樣	c=2 d=0.0005 t=76495
bu zheng chang 	不正常	c=3 d=0.0005 t=76495
bu zheng que 	不正確	c=1 d=0.0005 t=76495
bu zhi 	不值	c=1 d=0.0005 t=76495
bu zhi 	不止	c=1 d=0.0005 t=76495
bu zhi 	不知	c=5 d=2.0398 t=40209
bu zhi chi 	不支持	c=24 d=2.4971 t=40209
bu zhi dao 	不知道	c=66 d=7.1204 t=40209
bu zhi de 	不值得	c=1 d=0.0005 t=76495
bu zhi dou 	不知都	c=1 d=0.0005 t=76495
bu zhi dui 	不知对	c=1 d=1.9216 t=3923
bu zhi jie 	不直接	c=1 d=0.0005 t=76495
bu zhi ming 	不知名	c=2 d=0.0005 t=76495
bu zhi xing 	不执行	c=2 d=0.0007 t=40209
bu zhi yu 	不至於	c=5 d=0.0005 t=76495
bu zhong yao 	不重要	c=2 d=0.0005 t=76495
bu zhou 	步驟	c=3 d=0.0005 t=76495
bu zhu 	不住	c=1 d=0.5880 t=40209
bu zhu ru 	不注入	c=1 d=0.0015 t=76495
bu zhun xu 	不准許	c=1 d=0.0005 t=76495
bu zi ji 	不自己	c=1 d=0.0005 t=76495
bu zou 	不走	c=3 d=0.0503 t=76495
bu zu 	不足	c=6 d=0.0005 t=76495
bu zuo 	不做	c=16 d=0.5296 t=76495
bu zuo chu li 	不做處理	c=2 d=0.0005 t=76495
ca 	擦	c=5 d=0.0005 t=76495
ca ca ca ca ca ca 	擦擦擦擦擦擦	c=0 d=0.0005 t=76495
ca ou zuo 	擦偶做	c=1 d=0.0005 t=76495
ca pi gu 	擦屁股	c=1 d=0.0005 t=76495
cai 	才	c=23 d=8.3550 t=40209
cai 	猜	c=2 d=0.0005 t=76495
cai 	菜	c=3 d=0.0005 t=76495
cai 	蔡	c=1 d=0.0005 t=76495
cai 	踩	c=1 d=0.0005 t=76495
cai bu 	纔不	c=1 d=0.0005 t=76495
cai ce 	猜測	c=1 d=0.0005 t=76495
cai cheng 	菜成	c=1 d=0.0005 t=76495
cai dao 	猜到	c=1 d=0.0005 t=76495
cai de 	裁得	c=1 d=0.0005 t=76495
cai de 	踩得	c=1 d=0.0005 t=76495
cai de hen 	菜得很	c=1 d=0.0005 t=76495
cai dui 	才对	c=1 d=1.1655 t=3923
cai dui 	纔對	c=8 d=0.1188 t=76495
cai fu 	財富	c=1 d=0.0005 t=76495
cai guo 	踩过	c=0 d=0.0156 t=76495
cai guo de 	踩过的	c=1 d=0.1571 t=76495
cai hao 	才好	c=1 d=0.0002 t=3923
cai hao 	纔好	c=1 d=0.0005 t=76495
