# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
fan xu lie hua 	反序列化	c=2 d=2.98062e-45 t=76495
fan yi 	翻譯	c=1 d=0.00374406 t=76495
fan yi ci 	反義詞	c=2 d=1.05769e-05 t=76495
fan yi de 	翻譯的	c=1 d=0.0376283 t=76495
fan ying 	反映	c=1 d=5.33317e-17 t=76495
fan zheng 	反正	c=8 d=0.506622 t=76495
fan zhuan 	反轉	c=2 d=3.83139e-39 t=76495
fan zi 	販子	c=2 d=2.04595e-32 t=76495
fang 	房	c=0 d=8.0918e-11 t=76495
fang 	放	c=54 d=0.998346 t=76495
fang 	方	c=1 d=3.5737e-76 t=76495
fang 	防	c=1 d=4.30216e-19 t=76495
fang an 	方案	c=18 d=0.211274 t=76495
fang bian 	方便	c=11 d=0.0628085 t=76495
fang cheng 	放成	c=1 d=2.78843e-35 t=76495
fang chu 	放出	c=1 d=5.57906e-106 t=76495
fang chu lai 	放出來	c=2 d=7.45292e-13 t=76495
fang chu qu 	放出去	c=3 d=3.51812e-05 t=76495
fang da 	放大	c=1 d=1.13724e-13 t=76495
fang da 	放達	c=2 d=1.13157e-13 t=76495
fang da shi 	放達是	c=1 d=1.62611e-15 t=76495
fang dan 	放單	c=1 d=2.09424e-108 t=76495
fang dao 	放到	c=13 d=0.00247307 t=76495
fang dao 	防盜	c=1 d=2.23206e-05 t=76495
fang dao fan dui fan dui fa 	放到反对反对法	c=1 d=5.78621e-35 t=76495
fang dao sha fa dian 	放到沙發墊	c=1 d=0.000380129 t=76495
fang dao wei shi 	防盗卫士	c=0 d=3.5898e-08 t=76495
fang dao wei shi dian feng shan 	防盗卫士電風扇	c=1 d=3.60779e-07 t=76495
fang fa 	方法	c=45 d=0.626031 t=76495
fang fa 	訪法	c=1 d=1.07164e-108 t=76495
fang fa ming 	方法名	c=1 d=1.57388e-71 t=76495
fang fan 	防範	c=1 d=7.40746e-88 t=76495
fang fang fang 	方芳芳	c=6 d=0.000279354 t=76495
fang fei 	放飛	c=0 d=1.4611e-109 t=76495
fang fei zi wo 	放飛自我	c=1 d=1.46842e-108 t=76495
fang ge 	放個	c=0 d=0.000245409 t=76495
fang ge jia 	放個假	c=1 d=0.00246639 t=76495
fang gui zhen 	方貴震	c=1 d=4.96722e-63 t=76495
fang huo 	放火	c=1 d=0.414783 t=76495
fang huo qiang 	防火牆	c=3 d=6.74024e-07 t=76495
fang jia 	房價	c=3 d=1.77405e-09 t=76495
fang jia 	放假	c=2 d=7.47984e-26 t=76495
fang jian 	房間	c=0 d=0.00395575 t=76495
fang jian de 	房間的	c=1 d=0.0397558 t=76495
fang kai 	放開	c=4 d=3.44845e-05 t=76495
fang kuai 	方塊	c=1 d=0.255381 t=76495
fang kuan 	放寬	c=3 d=2.12916e-44 t=76495
fang la 	放辣	c=1 d=1.06054e-15 t=76495
fang le 	放了	c=1 d=3.55313e-92 t=76495
fang na 	放那	c=1 d=1.45921e-34 t=76495
fang ni 	放你	c=1 d=2.84797e-107 t=76495
fang pi 	放屁	c=2 d=8.23255e-07 t=76495
fang qi 	放棄	c=4 d=3.36388e-07 t=76495
fang sheng da ku 	放聲大哭	c=0 d=1.06025e-101 t=76495
fang sheng da ku lu fang ji lu ka si de niu fen lan 	放聲大哭錄放機盧卡斯的紐芬蘭	c=1 d=1.06557e-100 t=76495
fang shi 	方式	c=47 d=0.229357 t=76495
fang shi de 	方式的	c=1 d=3.29314e-15 t=76495
fang shi de fan su du fa shao deng fan 	方式的飯速讀法稍等飯	c=1 d=1.65896e-14 t=76495
fang shui 	放水	c=2 d=5.6199e-31 t=76495
fang song 	放鬆	c=2 d=0.00247875 t=76495
fang wang 	防忘	c=1 d=7.00487e-107 t=76495
fang wen 	訪問	c=27 d=1.83387 t=76495
fang wen dao 	訪問到	c=1 d=1.05708e-06 t=76495
fang wo zhe 	放我這	c=1 d=2.37291e-19 t=76495
fang xiang 	方向	c=2 d=6.7904e-06 t=76495
fang xiang 	芳香	c=1 d=6.72284e-06 t=76495
fang xin 	放心	c=5 d=0.882497 t=76495
fang xing 	放行	c=1 d=5.19884e-11 t=76495
fang xing 	方行	c=3 d=7.06876e-08 t=76495
fang yi kuai 	放一塊	c=1 d=2.47143e-27 t=76495
fang yi xia 	放一下	c=1 d=1.22286e-14 t=76495
fang you le 	房有了	c=1 d=8.13236e-10 t=76495
fang zai 	放在	c=2 d=9.24059e-13 t=76495
fang zai 	防災	c=1 d=3.49309e-68 t=76495
fang zhe 	放着	c=3 d=3.11329e-08 t=76495
fang zhe li 	放这里	c=5 d=0.0593087 t=76495
fang zhi 	放置	c=5 d=0.263158 t=76495
fang zhi 	防止	c=13 d=0.261846 t=76495
fang zong 	放縱	c=1 d=2.84748e-105 t=76495
fei 	廢	c=2 d=8.3859e-14 t=76495
fei 	費	c=0 d=3.3583e-106 t=76495
fei 	非	c=38 d=0.00145911 t=76495
fei chang 	肥腸	c=1 d=2.25114e-105 t=76495
fei chang da 	非常大	c=1 d=2.27376e-105 t=76495
fei chang duo 	非常多	c=1 d=9.56618e-38 t=76495
fei chi jiu hua 	非持久化	c=1 d=2.15765e-106 t=76495
fei chu 	廢除	c=1 d=1.10992e-21 t=76495
fei dao chu 	非導出	c=1 d=1.68111e-23 t=76495
fei de 	废的	c=1 d=1.0043e-21 t=76495
fei di nan 	斐迪南	c=0 d=1.81174e-22 t=76495
fei fa 	非法	c=2 d=8.96138e-05 t=76495
fei guan li yuan 	非管理員	c=1 d=9.04442e-84 t=76495
fei hua 	廢話	c=1 d=3.18495e-11 t=76495
fei kong 	非空	c=2 d=2.58282e-75 t=76495
fei le 	廢了	c=5 d=1.44523e-09 t=76495
fei le 	肥了	c=0 d=2.07806e-106 t=76495
fei li 	費力	c=1 d=0.647265 t=76495
fei ling 	非零	c=1 d=2.80345e-10 t=76495
fei lu 	飛盧	c=1 d=0.00031751 t=76495
fei lv bin 	菲律賓	c=1 d=5.6991e-33 t=76495
fei qi 	廢棄	c=4 d=1.11166e-10 t=76495
fei ren 	廢人	c=1 d=7.03707e-14 t=76495
fei sheng 	飛昇	c=1 d=3.3471e-07 t=76495
fei shi fan 	非師範	c=0 d=2.78804e-05 t=76495
fei shi fan shi de fen shu de 	非師範實得分數的	c=1 d=0.000280202 t=76495
fei shu 	飛書	c=31 d=0.0490458 t=76495
fei shu qun 	飛書羣	c=2 d=5.41026e-31 t=76495
fei wu 	廢物	c=4 d=4.30491e-13 t=76495
fei zhou 	非州	c=3 d=8.22878e-24 t=76495
fen 	份	c=1 d=0.099005 t=76495
fen 	分	c=20 d=4.26133e-07 t=76495
fen 	奋	c=1 d=0.951229 t=76495
fen bie 	分別	c=4 d=0.0368839 t=76495
fen bu 	分步	c=1 d=1.9241e-23 t=76495
fen bu qing 	分不清	c=1 d=2.65659e-24 t=76495
fen bu shi 	分佈式	c=1 d=1.04852e-28 t=76495
fen bu zhou 	分步驟	c=2 d=5.88321e-20 t=76495
fen ceng 	分層	c=3 d=0.733447 t=76495
fen cha 	分岔	c=0 d=7.87566e-16 t=76495
fen ci 	分詞	c=1 d=1.16441e-26 t=76495
fen dou 	奮鬥	c=1 d=2.42448e-66 t=76495
fen e 	份額	c=0 d=1.55752e-08 t=76495
fen e dou re ai 	份額都熱愛	c=1 d=1.56533e-07 t=76495
fen fa 	分發	c=5 d=7.66776e-06 t=76495
fen fa dao 	分發到	c=0 d=2.00262e-24 t=76495
fen fa dao shi fou 	分發到是否	c=1 d=2.01266e-23 t=76495
fen ge fu 	分隔符	c=1 d=0.000281606 t=76495
fen ge xian 	分割線	c=1 d=5.01901e-38 t=76495
fen gei ta 	分給他	c=1 d=4.15843e-31 t=76495
fen hao 	分好	c=1 d=0.116484 t=76495
fen hao 	分號	c=0 d=1.34194e-20 t=76495
fen hao zu 	分號組	c=1 d=1.34867e-19 t=76495
fen jiao 	粉蕉	c=1 d=2.20161e-108 t=76495
fen jie duan 	分階段	c=1 d=9.05454e-09 t=76495
fen kai 	分開	c=3 d=2.8595e-37 t=76495
fen kai lai 	分開來	c=1 d=4.43393e-21 t=76495
fen kuai 	分塊	c=1 d=2.85935e-46 t=76495
fen lei 	分類	c=1 d=0.272532 t=76495
fen li 	分離	c=0 d=1.58505e-67 t=76495
fen lie 	分裂	c=1 d=0.00121259 t=76495
fen liu 	分流	c=2 d=7.671e-21 t=76495
fen mi 	分泌	c=2 d=0.995012 t=76495
fen mu 	分母	c=1 d=2.93908e-07 t=76495
fen pai 	分派	c=3 d=1.2625e-07 t=76495
fen pei 	分配	c=29 d=1.24998 t=76495
fen pei biao 	分配表	c=1 d=6.69728e-20 t=76495
fen pian 	分片	c=4 d=0.00286554 t=76495
fen ping 	分屏	c=1 d=7.33822e-07 t=76495
fen qu 	分區	c=1 d=6.32533e-83 t=76495
fen shi an 	分屍案	c=0 d=3.44904e-08 t=76495
fen shi an da fa shi de 	分屍案大法師的	c=2 d=1.62611e-14 t=76495
fen wei 	氛圍	c=1 d=2.00958e-05 t=76495
fen wo 	分我	c=1 d=0.19593 t=76495
fen xi 	分析	c=12 d=3.2398e-06 t=76495
fen xiang 	分享	c=2 d=2.47658e-05 t=76495
fen xiang 	分項	c=1 d=1.18285e-05 t=76495
fen ye 	分頁	c=8 d=0.0108307 t=76495
fen zhi 	分之	c=1 d=2.01212e-108 t=76495
fen zhi 	分支	c=57 d=0.287604 t=76495
fen zhong 	分鐘	c=48 d=0.702554 t=76495
fen zi 	份子	c=0 d=3.49629e-21 t=76495
fen zu 	分組	c=38 d=0.00111172 t=76495
feng 	封	c=4 d=2.77555e-11 t=76495
feng 	峯	c=2 d=3.89462e-55 t=76495
feng fu 	豐富	c=5 d=0.0147521 t=76495
feng fu fang fang fang 	豐富方芳芳	c=7 d=5.0235e-06 t=76495
feng ge 	鋒哥	c=1 d=2.34795e-71 t=76495
feng ge 	風格	c=17 d=0.038969 t=76495
feng hao 	封號	c=8 d=0.0500366 t=76495
feng jian shi dai 	封建時代	c=0 d=1.07091e-101 t=76495
feng jian shi dai fang jian 	封建時代房間	c=1 d=1.07628e-100 t=76495
feng jin 	封禁	c=5 d=2.66941e-107 t=76495
feng jing 	風景	c=1 d=4.68368e-48 t=76495
feng kong 	峯空	c=1 d=1.48631e-74 t=76495
feng kong 	風控	c=29 d=0.0721285 t=76495
feng kuang 	瘋狂	c=2 d=7.65616e-06 t=76495
feng le 	瘋了	c=1 d=1.14209e-63 t=76495
feng mian 	封面	c=0 d=2.60487e-29 t=76495
feng mian tu 	封面圖	c=1 d=2.61793e-28 t=76495
feng su 	風俗	c=1 d=1.47593e-21 t=76495
feng xian 	風險	c=15 d=0.0175707 t=76495
feng yan feng yu 	風言風語	c=1 d=5.48794e-30 t=76495
feng yi ceng 	封一層	c=2 d=3.73821e-13 t=76495
feng zhi 	峯值	c=1 d=2.84912e-53 t=76495
feng zhu 	封住	c=1 d=5.94704e-34 t=76495
feng zhuang 	封裝	c=21 d=0.000239969 t=76495
fo 	佛	c=3 d=2.36759e-22 t=76495
fou 	否	c=25 d=0.0382916 t=76495
fou ze 	否則	c=35 d=0.0319341 t=76495
fu 	副	c=1 d=0.0882497 t=76495
fu 	富	c=1 d=2.37533e-31 t=76495
fu 	服	c=28 d=1.84582e-05 t=76495
fu 	符	c=2 d=5.48047e-14 t=76495
fu ben 	複本	c=1 d=0.453845 t=76495
fu chu 	付出	c=1 d=1.23675e-88 t=76495
fu dan 	負擔	c=2 d=1.72608e-10 t=76495
fu dao 	輔導	c=1 d=1.02542e-60 t=76495
fu dao fei 	輔導費	c=0 d=7.99391e-103 t=76495
fu dao fu dao 	辅导辅导	c=0 d=6.55664e-36 t=76495
fu dao fu dao fu dao fei dei 	辅导辅导輔導費得	c=1 d=6.55664e-36 t=76495
fu dao fu dao fu dao fu dao fu dao fei dei 	辅导辅导辅导辅导輔導費得	c=1 d=6.58951e-35 t=76495
fu dao ke 	輔導課	c=0 d=9.29166e-20 t=76495
fu dao ke shao nian fan ni shuo dao 	輔導課少年犯你说到	c=1 d=9.33823e-19 t=76495
fu dian shu 	浮點數	c=1 d=4.88178e-06 t=76495
fu du 	幅度	c=2 d=2.02764e-22 t=76495
fu gai 	覆蓋	c=10 d=0.0871609 t=76495
fu gai shi 	覆蓋式	c=1 d=9.93458e-12 t=76495
fu gui 	富貴	c=5 d=0.00675424 t=76495
fu gui bing 	富貴病	c=1 d=1.6311e-50 t=76495
fu hao 	符號	c=3 d=1.46124e-21 t=76495
fu he 	符合	c=4 d=0.00386807 t=76495
fu he 	複合	c=1 d=5.038e-53 t=76495
fu he 	附和	c=1 d=1.64699e-17 t=76495
fu he tiao jian 	符合條件	c=1 d=1.22602e-15 t=76495
fu hua 	孵化	c=1 d=1.55588e-24 t=76495
fu huo 	復活	c=1 d=1.54276e-42 t=76495
fu ji 	父级	c=0 d=7.89125e-98 t=76495
fu ji e dian 	父级額點	c=1 d=7.9308e-97 t=76495
fu ji mu lu 	父级目录	c=1 d=4.33316e-74 t=76495
fu jia 	附加	c=3 d=5.63088e-09 t=76495
fu jia tiao jian 	附加條件	c=2 d=5.39118e-56 t=76495
fu jian 	福建	c=1 d=2.46681e-05 t=76495
fu jin 	附近	c=4 d=0.839457 t=76495
fu ke 	復刻	c=1 d=0.0617291 t=76495
fu le 	服了	c=6 d=0.377437 t=76495
fu le ni men 	服了你們	c=1 d=6.28777e-13 t=76495
fu li 	福利	c=3 d=0.0584257 t=76495
fu lu 	附錄	c=3 d=3.41587e-20 t=76495
fu nv 	婦女	c=0 d=4.55717e-21 t=76495
fu nv zhi you 	婦女之友	c=1 d=4.58001e-20 t=76495
fu peng 	付鵬	c=1 d=2.99835e-36 t=76495
fu po 	富婆	c=1 d=2.16287e-105 t=76495
fu shu 	負數	c=1 d=1.56911e-06 t=76495
fu wen ben 	富文本	c=2 d=9.10314e-107 t=76495
fu wu 	服務	c=121 d=1.95849 t=76495
fu wu duan 	服務端	c=5 d=1.21007e-08 t=76495
fu wu ji 	服務級	c=2 d=1.29623e-23 t=76495
fu wu jian 	服務間	c=1 d=0.00191125 t=76495
fu wu ming 	服務名	c=2 d=4.02936e-13 t=76495
fu wu qi 	服務器	c=4 d=0.298659 t=76495
fu wu shang 	服務商	c=2 d=3.23618e-81 t=76495
fu xian 	復現	c=31 d=0.0699972 t=76495
fu xuan kuang 	複選框	c=1 d=5.01832e-07 t=76495
fu yang fei 	撫養費	c=1 d=1.50201e-80 t=76495
fu yong 	復用	c=8 d=0.0539337 t=76495
fu yuan 	復原	c=3 d=0.0100017 t=76495
fu za 	複雜	c=6 d=5.08361e-12 t=76495
fu zai 	負載	c=2 d=3.20255e-17 t=76495
fu ze 	負責	c=11 d=0.0779657 t=76495
fu ze ren 	負責人	c=2 d=4.53136e-12 t=76495
fu zhi 	扶植	c=1 d=1.37994e-24 t=76495
fu zhi 	複製	c=1 d=2.40051e-08 t=76495
fu zhi 	賦值	c=4 d=1.16009e-34 t=76495
fu zhi zhan tie 	复制粘贴	c=1 d=4.87498e-19 t=76495
fu zhu 	輔助	c=3 d=0.0555762 t=76495
fu zuo yong 	副作用	c=1 d=0.88692 t=76495
ga 	噶	c=0 d=1.11944e-93 t=76495
ga beng 	噶嘣	c=0 d=4.82057e-35 t=76495
ga beng cui 	噶嘣脆	c=2 d=8.82948e-07 t=76495
ga ga 	噶噶	c=1 d=2.47656e-22 t=76495
ga ga ga 	嘎嘎嘎	c=10 d=1.22276e-10 t=76495
ga jiu cai 	噶韭菜	c=1 d=1.12505e-92 t=76495
ga zhi 	嘎吱	c=0 d=4.86902e-35 t=76495
ga zhi ga zhi xiang 	嘎吱嘎吱響	c=1 d=4.89343e-34 t=76495
gai 	改	c=92 d=0.443683 t=76495
gai 	蓋	c=2 d=1.34711e-34 t=76495
gai 	該	c=75 d=1.10677 t=76495
gai ban ben 	改版本	c=1 d=3.03768e-101 t=76495
gai bei zhu 	改備註	c=2 d=9.76255e-26 t=76495
gai bian 	改變	c=6 d=1.54809 t=76495
gai bu 	該部	c=0 d=0.099005 t=76495
gai bu dong 	改不动	c=2 d=9.59584e-45 t=76495
gai bu fen 	改部份	c=1 d=4.48474e-08 t=76495
gai bu fen 	該部份	c=1 d=0.995012 t=76495
gai bu liao 	改不了	c=2 d=1.1086e-07 t=76495
gai cao zuo 	該操作	c=1 d=6.69094e-97 t=76495
gai cheng 	改成	c=11 d=0.000620522 t=76495
gai cheng 	改稱	c=2 d=0.000413672 t=76495
gai chi chi 	該喫喫	c=1 d=6.35096e-13 t=76495
gai chong de 	該衝的	c=1 d=0.000320701 t=76495
gai dao 	改到	c=1 d=1.09981e-31 t=76495
gai de 	改的	c=5 d=0.00481167 t=76495
gai diao 	改掉	c=4 d=0.0181334 t=76495
gai dong 	改動	c=5 d=0.00109172 t=76495
gai dong gei 	改動給	c=1 d=2.24082e-51 t=76495
gai dui xiang 	該對象	c=1 d=1.08414e-68 t=76495
gai fu wu 	該服務	c=1 d=4.8611e-103 t=76495
gai gai 	改改	c=1 d=5.18509e-68 t=76495
gai gan de 	該乾的	c=1 d=0.183599 t=76495
gai ge 	改個	c=3 d=8.86288e-22 t=76495
gai ge 	改革	c=2 d=3.21302e-21 t=76495
gai guo 	改過	c=4 d=1.86983e-10 t=76495
gai guo lai 	改過來	c=1 d=0.0129068 t=76495
gai hao le 	改好了	c=3 d=0.148823 t=76495
gai hao le ma 	該好了嗎	c=1 d=2.1227e-61 t=76495
gai hui 	改回	c=2 d=0.0874531 t=76495
gai hui lai 	改回來	c=1 d=5.25092e-40 t=76495
gai hui lai le 	改回来了	c=1 d=0.57695 t=76495
gai kai 	該開	c=1 d=5.93895e-18 t=76495
gai le 	改了	c=30 d=0.556325 t=76495
gai le 	蓋了	c=1 d=2.32917e-06 t=76495
gai le ma 	改了吗	c=3 d=1.17327e-28 t=76495
gai le yi bo 	改了一撥	c=2 d=1.22041e-71 t=76495
gai lu you 	該路由	c=1 d=1.80075e-67 t=76495
gai lv 	概率	c=11 d=0.161422 t=76495
gai nian 	概念	c=6 d=6.97298e-24 t=76495
gai shan 	改善	c=2 d=2.36469e-37 t=76495
gai shang qu 	改上去	c=1 d=0.0461896 t=76495
gai shi jian duan 	該時間段	c=1 d=1.19873e-103 t=76495
gai wan 	改完	c=7 d=0.357007 t=76495
gai wan le 	該完了	c=2 d=5.93794e-16 t=76495
gai wei 	改爲	c=1 d=4.21871e-112 t=76495
gai xia 	改下	c=10 d=0.148623 t=76495
gai xia 	該下	c=3 d=0.000287327 t=76495
gai xin xi 	改信息	c=1 d=0.00400585 t=76495
gai xuan xiang 	該選項	c=1 d=4.95677e-97 t=76495
gai yao 	該要	c=1 d=3.57045e-61 t=76495
gai yi bo 	改一撥	c=4 d=0.0968105 t=76495
gai yi bo 	該一撥	c=1 d=1.64285e-105 t=76495
gai yi ge 	改一个	c=2 d=1.04131e-35 t=76495
gai yi xia 	改一下	c=35 d=0.0995192 t=76495
gai yong 	改用	c=1 d=1.09757e-07 t=76495
gai za zheng 	改咋整	c=1 d=4.7684e-53 t=76495
gai zao 	改造	c=21 d=0.229942 t=76495
gai zhao 	改朝	c=1 d=4.43681e-58 t=76495
gai zheng 	改正	c=1 d=6.26493e-29 t=76495
gai zi liao 	改資料	c=1 d=0.00609675 t=76495
gai zu xia 	該組下	c=1 d=0.000266536 t=76495
gan 	咁	c=1 d=6.31975e-102 t=76495
gan 	幹	c=5 d=0.763379 t=76495
gan 	敢	c=1 d=1.56501e-34 t=76495
gan bai xia feng 	甘拜下風	c=1 d=8.11274e-11 t=76495
gan bei 	乾杯	c=2 d=8.72889e-41 t=76495
gan bu shang 	趕不上	c=1 d=1.72773e-80 t=76495
gan chi 	干吃	c=1 d=1.77345e-05 t=76495
gan cui 	乾脆	c=1 d=1.69541e-05 t=76495
gan dao 	趕到	c=1 d=5.32937e-38 t=76495
gan de 	乾的	c=0 d=0.0182684 t=76495
gan de piao liang 	乾的漂亮	c=1 d=2.22131e-07 t=76495
gan diao 	幹掉	c=11 d=0.000558643 t=76495
gan die 	乾爹	c=1 d=0.199888 t=76495
gan fan 	乾飯	c=2 d=1.41343e-39 t=76495
gan ga 	尷尬	c=4 d=1.49284e-08 t=76495
gan huo 	幹活	c=3 d=1.11203e-05 t=76495
gan jin 	趕緊	c=8 d=1.48514e-06 t=76495
gan jue 	感覺	c=47 d=1.07573 t=76495
gan kang 	感康	c=1 d=3.17176e-21 t=76495
gan kuai 	趕快	c=1 d=3.27427e-101 t=76495
gan le 	乾了	c=1 d=5.00707e-11 t=76495
gan le xie sha 	乾了些啥	c=1 d=5.03217e-10 t=76495
gan ma 	幹嘛	c=8 d=3.36312e-05 t=76495
gan mao 	感冒	c=3 d=6.32865e-21 t=76495
gan mao le 	感冒了	c=1 d=1.93335e-50 t=76495
gan ni 	幹你	c=0 d=0.0771052 t=76495
gan ni niao shi 	幹你鸟事	c=1 d=0.774916 t=76495
gan ran 	感染	c=4 d=7.82273e-20 t=76495
gan ran 	酣然	c=1 d=2.27313e-43 t=76495
gan rao 	干擾	c=3 d=2.37784e-14 t=76495
gan sha 	幹啥	c=27 d=0.44468 t=76495
gan sha sha bu xing 	幹啥啥不行	c=1 d=1.4061e-39 t=76495
gan shang 	趕上	c=0 d=0.0293758 t=76495
gan shang le 	趕上了	c=1 d=0.29523 t=76495
gan shuo 	敢說	c=1 d=2.29449e-06 t=76495
gan tan hao 	感歎號	c=1 d=2.05109e-69 t=76495
gan xing qu 	感興趣	c=1 d=9.79667e-24 t=76495
gan zhe 	乾着	c=1 d=4.22285e-06 t=76495
gan zhi 	感知	c=9 d=0.000428624 t=76495
gang 	剛	c=51 d=0.449347 t=76495
gang 	崗	c=3 d=0.0547488 t=76495
gang ao tai 	港澳臺	c=1 d=2.72625e-05 t=76495
gang cai 	剛纔	c=2 d=0.00904991 t=76495
gang chu 	剛出	c=1 d=6.36787e-103 t=76495
gang fa 	剛發	c=2 d=5.4615e-32 t=76495
gang gang 	剛剛	c=13 d=0.386798 t=76495
gang gang na ge 	剛剛那個	c=1 d=3.699e-36 t=76495
gang hao 	剛好	c=1 d=2.36148e-21 t=76495
gang he ta 	剛和他	c=1 d=2.50478e-67 t=76495
gang kan ta 	剛看他	c=1 d=1.71624e-31 t=76495
gang rang 	剛讓	c=1 d=3.14779e-20 t=76495
gang rang ta 	剛讓他	c=1 d=8.43207e-24 t=76495
gang ru zhi 	剛入職	c=1 d=4.96839e-07 t=76495
gang shi 	剛試	c=0 d=3.48763e-80 t=76495
gang shi le 	剛試了	c=1 d=3.50511e-79 t=76495
gang shuo le 	剛說了	c=1 d=3.61898e-14 t=76495
gang wei 	崗位	c=1 d=5.34152e-06 t=76495
gang wen le 	剛問了	c=1 d=0.0958472 t=76495
gang xiang 	剛想	c=0 d=3.49023e-30 t=76495
gang zai 	剛在	c=2 d=8.08715e-62 t=76495
gang zai he 	剛在和	c=1 d=8.64203e-78 t=76495
gao 	吿	c=1 d=7.23958e-83 t=76495
gao 	搞	c=18 d=0.249075 t=76495
gao 	高	c=8 d=0.960789 t=76495
gao bu 	搞不	c=1 d=0.0584257 t=76495
gao bu ding 	搞不定	c=1 d=1.58834e-61 t=76495
gao bu dong 	搞不懂	c=3 d=0.00349997 t=76495
gao bu ming bai 	搞不明白	c=2 d=0.301194 t=76495
gao bu qi 	搞不起	c=1 d=2.19555e-105 t=76495
gao bu qing 	搞不清	c=1 d=7.21275e-10 t=76495
gao chao 	高潮	c=1 d=6.62839e-16 t=76495
gao chu le 	搞出了	c=1 d=1.30699e-32 t=76495
gao ci 	告辭	c=1 d=4.14135e-12 t=76495
gao cuo le 	搞错了	c=2 d=0.000350903 t=76495
gao da 	高大	c=1 d=6.82306e-33 t=76495
gao dao 	搞到	c=2 d=1.96063e-09 t=76495
gao de 	搞得	c=2 d=0.138069 t=76495
gao de wo 	搞得我	c=4 d=2.96297e-14 t=76495
gao dian 	高點	c=1 d=1.19592e-46 t=76495
gao ding 	搞定	c=5 d=3.31436e-09 t=76495
gao dong 	搞懂	c=1 d=1.02431e-106 t=76495
gao du 	高度	c=1 d=1.69756e-108 t=76495
gao fan 	搞翻	c=1 d=3.58163e-39 t=76495
gao fen zi 	高分子	c=1 d=6.61422e-79 t=76495
gao fu za 	搞複雜	c=1 d=2.674e-42 t=76495
gao gao 	搞搞	c=1 d=1.99386e-89 t=76495
gao gao 	高高	c=1 d=2.99214e-41 t=76495
gao ge 	搞个	c=1 d=3.10146e-22 t=76495
gao guo 	搞過	c=1 d=3.87466e-23 t=76495
gao ji 	高級	c=4 d=3.07488e-09 t=76495
gao ji ban 	高级版	c=1 d=4.22388e-97 t=76495
gao ji shu 	搞技術	c=1 d=5.19249e-26 t=76495
gao ji shu 	高技術	c=1 d=5.16659e-26 t=76495
gao jing 	告警	c=33 d=0.000101523 t=76495
gao kan 	高看	c=1 d=8.83549e-15 t=76495
gao kao 	高考	c=1 d=1.03306e-59 t=76495
gao kuai dian 	搞快點	c=3 d=1.13606e-51 t=76495
gao le 	吿了	c=1 d=7.0189e-13 t=76495
gao le 	搞了	c=1 d=0.101774 t=76495
gao le 	高了	c=2 d=4.34082e-36 t=76495
gao nian ji 	高年級	c=1 d=1.13034e-59 t=76495
gao piao ling 	高嘌呤	c=1 d=0.290835 t=76495
gao qing 	高清	c=3 d=1.82398e-12 t=76495
gao shang 	搞上	c=1 d=2.77113e-50 t=76495
gao shao 	高燒	c=1 d=3.06267e-21 t=76495
gao shou 	高手	c=1 d=7.05048e-07 t=76495
gao su 	告訴	c=5 d=6.05985e-13 t=76495
gao su ni 	告诉你	c=3 d=0.304221 t=76495
gao su ta 	告诉她	c=2 d=5.91537e-30 t=76495
gao su wo 	告诉我	c=6 d=0.00522135 t=76495
gao tie 	高鐵	c=1 d=8.27442e-96 t=76495
gao wei 	高危	c=1 d=0.000350903 t=76495
gao wo 	搞我	c=2 d=9.08511e-78 t=76495
gao xiao 	搞笑	c=1 d=4.79082e-20 t=76495
gao xie ya 	高血壓	c=1 d=0.00123091 t=76495
gao xue ya 	高血壓	c=2 d=1.65552e-19 t=76495
gao yi bo 	搞一撥	c=1 d=2.3469e-07 t=76495
gao yi ge 	搞一个	c=1 d=2.03906e-88 t=76495
gao yi xia 	搞一下	c=1 d=1.51944e-98 t=76495
gao zhi 	告之	c=1 d=3.38329e-104 t=76495
gao zhi 	告知	c=19 d=0.0277389 t=76495
gao zhong 	高中	c=2 d=0.913931 t=76495
gao zhong xing 	高种姓	c=2 d=7.29393e-24 t=76495
ge 	個	c=80 d=0.0433959 t=76495
ge 	各	c=0 d=0.0494109 t=76495
ge 	哥	c=7 d=0.225445 t=76495
ge 	嗝	c=1 d=7.02419e-110 t=76495
ge 	格	c=0 d=2.51297e-77 t=76495
ge 	歌	c=2 d=6.35415e-80 t=76495
ge 	革	c=1 d=7.37625e-09 t=76495
ge bi 	戈壁	c=1 d=4.02211e-80 t=76495
ge bi 	隔壁	c=1 d=7.24004e-25 t=76495
ge bu fen 	各部分	c=1 d=5.86948e-56 t=76495
ge di 	各地	c=0 d=1.81174e-22 t=76495
ge di na shi kuai fei di nan sa fu 	各地那時快斐迪南颯服	c=1 d=1.82082e-21 t=76495
ge fan 	个饭	c=0 d=8.91821e-08 t=76495
ge fang mian 	各方面	c=1 d=6.8166e-110 t=76495
ge fu 	各付	c=0 d=0.0494109 t=76495
ge fu ge 	各付各	c=1 d=0.496585 t=76495
ge ge 	個個	c=1 d=0.118245 t=76495
ge ge 	割割	c=1 d=3.52411e-26 t=76495
ge ge 	各個	c=1 d=0.154896 t=76495
ge ge 	咯咯	c=1 d=6.98916e-110 t=76495
